ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
190.486;185.790;167.848;38.162;36.111;-0.916;288.137;538.250;333.906;536.639;30.000;38.000;345.673;350.084;157.522;154.342;278.885;70.650;172.923;2142.838;4.984;2181.079;511.037;306.326;712.426;649.803;1764.616;593.286;2.835;35.645
190.598;185.933;167.966;38.179;36.111;-0.916;288.137;538.250;333.906;536.785;30.000;38.000;345.708;350.314;157.345;154.250;279.022;70.720;174.841;2144.678;5.113;2182.954;507.847;306.088;711.059;651.863;1768.868;594.141;2.739;35.705
191.043;186.245;168.269;38.198;36.215;-0.916;288.166;537.791;333.644;537.118;30.000;38.000;345.750;350.328;157.250;154.250;278.560;70.762;172.748;2147.506;5.080;2183.454;511.549;306.129;710.260;649.232;1776.832;597.863;2.695;35.748
191.191;186.301;168.483;38.246;36.219;-0.916;288.335;536.240;332.720;537.096;30.000;38.000;345.750;350.328;157.250;154.250;278.493;70.762;171.960;2150.850;4.753;2183.317;511.888;306.156;709.564;648.056;1784.945;594.499;2.699;35.773
191.191;186.301;168.462;38.299;36.341;-0.916;288.335;535.340;331.892;536.848;30.000;38.000;345.750;350.328;157.005;154.282;278.582;70.762;169.354;2150.081;4.879;2183.360;510.680;306.007;709.018;649.631;1792.366;593.525;2.761;35.783
190.995;186.278;168.091;38.299;36.343;-0.916;288.335;535.063;331.875;536.695;30.000;38.000;345.750;350.343;157.000;154.500;278.542;70.762;166.134;2148.587;4.808;2179.673;509.273;305.815;709.225;647.350;1788.298;596.012;2.793;35.758
190.684;185.886;167.769;38.299;36.310;-0.916;288.335;535.402;331.875;536.688;30.000;38.000;345.750;350.438;157.000;154.500;278.339;70.666;164.412;2146.004;4.971;2177.817;511.186;306.399;710.461;644.609;1782.631;598.074;2.804;35.622
190.435;185.755;167.680;38.224;36.233;-0.916;288.271;536.754;332.492;536.564;30.000;38.000;345.750;350.438;157.318;154.659;278.463;70.613;165.155;2143.913;4.754;2173.642;511.705;306.252;711.985;649.198;1778.141;599.612;2.744;35.599
190.430;185.619;167.513;38.180;36.159;-0.915;288.119;538.010;333.371;536.459;30.000;38.000;345.750;350.438;157.697;154.750;278.490;70.613;166.889;2142.100;4.914;2178.971;511.916;306.227;712.392;652.158;1779.554;598.473;2.800;35.567
190.184;185.619;167.506;38.097;36.155;-0.915;288.119;539.282;334.086;536.459;30.000;38.000;345.750;350.438;157.750;154.708;278.440;70.613;169.389;2139.399;4.889;2177.329;509.524;306.517;712.386;651.026;1775.989;600.629;2.819;35.506
190.048;185.619;167.546;38.076;36.155;-0.915;288.119;540.125;334.825;536.459;30.000;38.000;345.668;350.259;157.750;154.551;278.162;70.613;170.980;2138.476;5.174;2179.100;510.437;306.639;712.351;651.026;1768.130;599.067;2.781;35.502
190.326;185.680;167.813;38.076;36.155;-0.915;288.119;539.892;335.156;536.459;30.000;38.000;345.750;349.891;157.750;154.500;278.253;70.582;171.403;2142.287;5.143;2180.376;512.549;306.647;711.580;649.598;1771.377;592.975;2.731;35.563
190.732;185.971;168.128;38.090;36.155;-0.915;288.136;539.270;334.764;536.448;30.000;38.000;345.671;349.891;157.750;154.500;278.369;70.575;174.398;2146.111;4.999;2179.108;511.734;306.115;709.914;647.892;1797.556;598.831;2.726;35.701
190.986;186.091;168.250;38.180;36.247;-0.916;288.157;539.000;334.375;536.422;30.000;38.000;345.553;349.891;157.750;154.500;278.292;70.575;173.809;2148.442;4.837;2179.187;509.384;306.245;709.526;646.841;1802.849;602.206;2.695;35.706
190.986;186.091;168.250;38.180;36.249;-0.916;288.157;538.168;333.996;536.697;30.000;38.000;345.500;349.891;157.750;154.343;278.088;70.575;169.976;2147.772;4.896;2180.055;511.762;306.083;709.101;646.841;1793.586;598.181;2.681;35.725
190.986;186.091;168.199;38.180;36.249;-0.916;288.157;537.875;333.594;537.076;30.000;38.000;345.500;349.891;157.750;154.409;278.313;70.575;169.251;2147.745;5.429;2174.524;512.004;305.950;708.636;648.424;1784.081;595.387;2.729;35.739
190.756;186.032;167.930;38.180;36.249;-0.916;288.157;537.875;333.594;537.172;30.000;38.000;345.615;349.891;157.710;154.647;278.440;70.682;165.181;2146.262;5.219;2171.650;510.019;306.050;709.426;650.329;1780.645;598.341;2.758;35.688
190.435;185.644;167.627;38.150;36.166;-0.916;288.245;538.836;334.200;537.172;30.000;38.000;345.750;350.020;157.861;154.970;278.252;70.688;163.395;2141.636;4.858;2171.487;507.931;306.302;709.836;649.452;1772.501;594.278;2.754;35.576
